Dataset Identifier (ID)	Name	Name_Without_Resource	Description	Association	Gene_Set_Description	Gene_Sets_Description	Attribute_Set_Description	Positive Association	Negative Association	Is_Signed	Is_Continuous_Valued	Last_Updated	Directory	Num_Page_Views	Resouce_fk	Measurement_fk	Dataset_Group_Fk	Attribute_Type_fk	Attribute_Group_fk	Evidence_Type	Evidence_Group	Measurement Bias	Attribute_Type_Plural
49	GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations	Signatures of Differentially Expressed Genes for Transcription Factor Perturbations	mRNA expression profiles for cell lines or tissues following transcription factor perturbation (inhibition, activation, knockdown, knockout, over-expression, mutation)	gene-transcription factor associations by differential expression of gene following perturbation of transcription factor	genes differentially expressed following the {0} transcription factor perturbation from the GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations dataset.	sets of genes differentially expressed following transcription factor perturbations from the GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations dataset.	transcription factor perturbations changing expression of {0} gene from the GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations dataset.	increased expression	decreased expression	1	1		geotf	5371	23	14	7	37	5	gene expression by microarray	primary experimental data	high throughput, data driven	transcription factor perturbations
50	GEO Signatures of Differentially Expressed Genes for Viral Infections	Signatures of Differentially Expressed Genes for Viral Infections	mRNA expression profiles for cell lines or tissues following viral infection	gene-virus associations by differential expression of gene following viral infection	genes differentially expressed following the {0} virus perturbation from the GEO Signatures of Differentially Expressed Genes for Viral Infections dataset.	sets of genes differentially expressed following virus perturbations from the GEO Signatures of Differentially Expressed Genes for Viral Infections dataset.	virus perturbations changing expression of {0} gene from the GEO Signatures of Differentially Expressed Genes for Viral Infections dataset.	increased expression	decreased expression	1	1		geovirus	4390	23	14	7	43	7	gene expression by microarray	primary experimental data	high throughput, data driven	virus perturbations
51	GO Biological Process Annotations	Biological Process Annotations	curated annotations of genes with biological processes	gene-biological process associations from curated gene annotations	genes participating in the {0} biological process from the curated GO Biological Process Annotations dataset.	sets of genes participating in biological processes from the curated GO Biological Process Annotations dataset.	biological processes involving {0} gene from the curated GO Biological Process Annotations dataset.			0	0		gobp	6503	24	4	6	17	4	association by literature curation	curated literature	low throughput, hypothesis driven	biological processes
52	GO Cellular Component Annotations	Cellular Component Annotations	curated annotations of genes with cellular components	gene-cellular component associations from curated gene annotations	proteins localized to the {0} cellular component from the curated GO Cellular Component Annotations dataset.	sets of proteins localized to cellular components from the curated GO Cellular Component Annotations dataset.	cellular components containing {0} protein from the curated GO Cellular Component Annotations dataset.			0	0		gocc	3933	24	4	6	19	4	association by literature curation	curated literature	low throughput, hypothesis driven	cellular components
53	GO Molecular Function Annotations	Molecular Function Annotations	curated annotations of genes with molecular functions	gene-molecular function associations from curated gene annotations	genes performing the {0} molecular function from the curated GO Molecular Function Annotations dataset.	sets of genes performing molecular functions from the curated GO Molecular Function Annotations dataset.	molecular functions performed by {0} gene from the curated GO Molecular Function Annotations dataset.			0	0		gomf	4432	24	4	6	21	4	association by literature curation	curated literature	low throughput, hypothesis driven	molecular functions
55	GTEx eQTL	eQTL	significance values for all gene-SNP pairs testing likelihood that SNP affects gene expression	gene-SNP associations by likelihood that SNP regulates gene	genes with expression regulated by the {0} SNP from the GTEx eQTL dataset.	sets of genes with expression regulated by SNPs from the GTEx eQTL dataset.	SNPs regulating expression of {0} gene from the GTEx eQTL dataset.			0	0		gtexeqtl	3491	29	11	2	44	8	expression quantitative trait loci by single nucleotide polymorphism microarray and RNA-seq	primary experimental data	high throughput, data driven	SNPs
56	GTEx Tissue Gene Expression Profiles	Tissue Gene Expression Profiles	mRNA expression profiles for tissues	gene-tissue associations by differential expression of gene across tissues	genes with high or low expression in {0} relative to other tissues from the GTEx Tissue Gene Expression Profiles dataset.	sets of genes with high or low expression in each tissue relative to other tissues from the GTEx Tissue Gene Expression Profiles dataset.	tissues with high or low expression of {0} gene relative to other tissues from the GTEx Tissue Gene Expression Profiles dataset.	high expression	low expression	1	1		gtextissue	9254	29	16	7	4	1	gene expression by RNA-seq	primary experimental data	high throughput, data driven	tissues
57	GTEx Tissue Sample Gene Expression Profiles	Tissue Sample Gene Expression Profiles	mRNA expression profiles for tissue samples	gene-tissue sample associations by differential expression of gene across tissue samples	genes with high or low expression in {0} relative to other tissue samples from the GTEx Tissue Sample Gene Expression Profiles dataset.	sets of genes with high or low expression in each tissue sample relative to other tissue samples from the GTEx Tissue Sample Gene Expression Profiles dataset.	tissue samples with high or low expression of {0} gene relative to other tissue samples from the GTEx Tissue Sample Gene Expression Profiles dataset.	high expression	low expression	1	1		gtexsample	4537	29	16	7	5	1	gene expression by RNA-seq	primary experimental data	high throughput, data driven	tissue samples
58	Guide to Pharmacology Chemical Ligands of Receptors	Chemical Ligands of Receptors	ligand-receptor interactions curated by experts	receptor-ligand (chemical) associations by expert curation	receptors of the {0} ligand (chemical) from the curated Guide to Pharmacology Chemical Ligands of Receptors dataset.	sets of receptors of ligands (chemical) from the curated Guide to Pharmacology Chemical Ligands of Receptors dataset.	ligands (chemical) binding {0} receptor from the curated Guide to Pharmacology Chemical Ligands of Receptors dataset.			0	0		guidetopharmchemical	4464	31	4	4	9	2	association by literature curation	curated literature	low throughput, hypothesis driven	ligands (chemical)
59	Guide to Pharmacology Protein Ligands of Receptors	Protein Ligands of Receptors	ligand-receptor interactions curated by experts	receptor-ligand (protein) associations by expert curation	receptors of the {0} ligand (protein) from the curated Guide to Pharmacology Protein Ligands of Receptors dataset.	sets of receptors of ligands (protein) from the curated Guide to Pharmacology Protein Ligands of Receptors dataset.	ligands (protein) binding {0} receptor from the curated Guide to Pharmacology Protein Ligands of Receptors dataset.			0	0		guidetopharmprotein	1960	31	4	4	32	5	association by literature curation	curated literature	low throughput, hypothesis driven	ligands (protein)
60	GWAS Catalog SNP-Phenotype Associations	SNP-Phenotype Associations	SNP-phenotype association p-values curated from published GWAS	gene-phenotype associations by manual GWAS curation	genes associated with the {0} phenotype in GWAS datasets from the GWAS Catalog SNP-Phenotype Associations dataset.	sets of genes associated with phenotypes in GWAS datasets from the GWAS Catalog SNP-Phenotype Associations dataset.	phenotypes associated with {0} gene in GWAS datasets from the GWAS Catalog SNP-Phenotype Associations dataset.			0	1		gwascatalog	5755	32	19	1	15	3	genetic association by data aggregation from genome-wide association and other genetic association studies	curated experimental data	high throughput, data driven	phenotypes
61	GWASdb SNP-Disease Associations	SNP-Disease Associations	SNP-disease association p-values curated from published GWAS	gene-disease associations by manual GWAS curation	genes associated with the disease {0} in GWAS and other genetic association datasets from the GWASdb SNP-Disease Associations dataset.	sets of genes associated with diseases in GWAS and other genetic association datasets from the GWASdb SNP-Disease Associations dataset.	diseases associated with {0} gene in GWAS and other genetic association datasets from the GWASdb SNP-Disease Associations dataset.			0	1		gwasdbdisease	13519	33	19	1	13	3	genetic association by data aggregation from genome-wide association and other genetic association studies	curated experimental data	high throughput, data driven	diseases
62	GWASdb SNP-Phenotype Associations	SNP-Phenotype Associations	SNP-phenotype association p-values curated from published GWAS	gene-phenotype associations by manual GWAS curation	genes associated with the {0} phenotype in GWAS datasets from the GWASdb SNP-Phenotype Associations dataset.	sets of genes associated with phenotypes in GWAS datasets from the GWASdb SNP-Phenotype Associations dataset.	phenotypes associated with {0} gene in GWAS datasets from the GWASdb SNP-Phenotype Associations dataset.			0	1		gwasdbphenotype	5205	33	19	1	15	3	genetic association by data aggregation from genome-wide association and other genetic association studies	curated experimental data	high throughput, data driven	phenotypes
63	Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles	Cell Line Gene Expression Profiles	mRNA expression profiles for breast cancer cell lines measured by microarray	gene-cell line associations by differential expression of gene across cell lines	genes with high or low expression in {0} relative to other cell lines from the Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles dataset.	sets of genes with high or low expression in each cell line relative to other cell lines from the Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles dataset.	cell lines with high or low expression of {0} gene relative to other cell lines from the Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles dataset.	high expression	low expression	1	1		heiser	3461	34	14	7	1	1	gene expression by microarray	primary experimental data	high throughput, data driven	cell lines
64	HMDB Metabolites of Enzymes	Metabolites of Enzymes	biomolecular interactions between metabolites and proteins, such as processing enzymes, curated from literature	protein-metabolite associations by manual literature curation	interacting proteins for the {0} metabolite from the curated HMDB Metabolites of Enzymes dataset.	sets of interacting proteins for metabolites from the curated HMDB Metabolites of Enzymes dataset.	interacting metabolites for {0} protein from the curated HMDB Metabolites of Enzymes dataset.			0	0		hmdb	4144	37	4	4	10	2	association by literature curation	curated literature	low throughput, hypothesis driven	metabolites
65	HPA Cell Line Gene Expression Profiles	Cell Line Gene Expression Profiles	mRNA expression profiles for cell lines	gene-cell line associations by differential expression of gene across cell lines	genes with high or low expression in {0} relative to other cell lines from the HPA Cell Line Gene Expression Profiles dataset.	sets of genes with high or low expression in each cell line relative to other cell lines from the HPA Cell Line Gene Expression Profiles dataset.	cell lines with high or low expression of {0} gene relative to other cell lines from the HPA Cell Line Gene Expression Profiles dataset.	high expression	low expression	1	1		hpacelllines	6330	39	16	7	1	1	gene expression by RNA-seq	primary experimental data	high throughput, data driven	cell lines
66	HPA Tissue Gene Expression Profiles	Tissue Gene Expression Profiles	mRNA expression profiles for tissues	gene-tissue associations by differential expression of gene across tissues	genes with high or low expression in {0} relative to other tissues from the HPA Tissue Gene Expression Profiles dataset.	sets of genes with high or low expression in each tissue relative to other tissues from the HPA Tissue Gene Expression Profiles dataset.	tissues with high or low expression of {0} gene relative to other tissues from the HPA Tissue Gene Expression Profiles dataset.	high expression	low expression	1	1		hpatissuesmrna	7745	39	16	7	4	1	gene expression by RNA-seq	primary experimental data	high throughput, data driven	tissues
67	HPA Tissue Protein Expression Profiles	Tissue Protein Expression Profiles	semiquantitative protein expression profiles for tissues	protein-tissue associations by differential expression of protein across tissues	proteins with high or low expression in {0} relative to other tissues from the HPA Tissue Protein Expression Profiles dataset.	sets of proteins with high or low expression in each tissue relative to other tissues from the HPA Tissue Protein Expression Profiles dataset.	tissues with high or low expression of {0} protein relative to other tissues from the HPA Tissue Protein Expression Profiles dataset.	high expression	low expression	1	1		hpatissuesprotein	2816	39	24	5	4	1	protein expression by immunohistochemistry	primary experimental data	high throughput, data driven	tissues
68	HPA Tissue Sample Gene Expression Profiles	Tissue Sample Gene Expression Profiles	mRNA expression profiles for tissue samples	gene-tissue sample associations by differential expression of gene across tissue samples	genes with high or low expression in {0} relative to other tissue samples from the HPA Tissue Sample Gene Expression Profiles dataset.	sets of genes with high or low expression in each tissue sample relative to other tissue samples from the HPA Tissue Sample Gene Expression Profiles dataset.	tissue samples with high or low expression of {0} gene relative to other tissue samples from the HPA Tissue Sample Gene Expression Profiles dataset.	high expression	low expression	1	1		hpasamples	1812	39	16	7	5	1	gene expression by RNA-seq	primary experimental data	high throughput, data driven	tissue samples
69	HPM Cell Type and Tissue Protein Expression Profiles	Cell Type and Tissue Protein Expression Profiles	protein expression profiles for tissues and cell types	protein-cell type or tissue associations by differential expression of protein across tissues and cell types	proteins with high or low expression in {0} relative to other cell types and tissues from the HPM Cell Type and Tissue Protein Expression Profiles dataset.	sets of proteins with high or low expression in each cell type or tissue relative to other cell types and tissues from the HPM Cell Type and Tissue Protein Expression Profiles dataset.	cell types and tissues with high or low expression of {0} protein relative to other cell types and tissues from the HPM Cell Type and Tissue Protein Expression Profiles dataset.	high expression	low expression	1	1		hpm	1930	41	25	5	3	1	protein expression by mass spectrometry	primary experimental data	high throughput, data driven	cell types and tissues
70	HPO Gene-Disease Associations	Gene-Disease Associations	phenotype-causing gene mutations of human phenotypes from disease knowledgebases	gene-phenotype associations by mapping disease genes to disease phenotypes	genes associated with the {0} phenotype by mapping known disease genes to disease phenotypes from the HPO Gene-Disease Associations dataset.	sets of genes associated with phenotypes by mapping known disease genes to disease phenotypes from the HPO Gene-Disease Associations dataset.	phenotypes associated with {0} gene by mapping known disease genes to disease phenotypes from the HPO Gene-Disease Associations dataset.			0	0		hpo	15586	38	3	1	15	3	association by literature curation	curated literature	low throughput, hypothesis driven	phenotypes
72	Hub Proteins Protein-Protein Interactions	Protein-Protein Interactions	sets of proteins interacting with hub proteins	protein-hub protein associations from aggregated protein-protein interaction data	interacting proteins for hub protein {0} from the curated Hub Proteins Protein-Protein Interactions dataset.	sets of interacting proteins for hub proteins from the curated Hub Proteins Protein-Protein Interactions dataset.	interacting hub proteins for {0} from the curated Hub Proteins Protein-Protein Interactions dataset.			0	0		hubs	6458	35	3	4	28	5	association by data aggregation	curated experimental data	low throughput, hypothesis driven	hub proteins
73	HuGE Navigator Gene-Phenotype Associations	Gene-Phenotype Associations	gene-phenotype associations extracted from published GWAS by automated text-mining	gene-phenotype associations by automated GWAS curation	genes associated with the {0} phenotype by text-mining GWAS publications from the HuGE Navigator Gene-Phenotype Associations dataset.	sets of genes associated with phenotypes by text-mining GWAS publications from the HuGE Navigator Gene-Phenotype Associations dataset.	phenotypes associated with {0} gene by text-mining GWAS publications from the HuGE Navigator Gene-Phenotype Associations dataset.			0	0		hugenavigator	7718	36	21	1	15	3	genetic association by text-mining	automated text-mining	low throughput, hypothesis driven	phenotypes
75	HumanCyc Pathways	Pathways	sets of proteins participating in pathways	protein-pathway associations from curated pathways	proteins participating in the {0} pathway from the HumanCyc Pathways dataset.	sets of proteins participating in pathways from the HumanCyc Pathways dataset.	pathways involving {0} protein from the HumanCyc Pathways dataset.			0	0		humancyc	2612	42	4	6	22	4	association by literature curation	curated literature	low throughput, hypothesis driven	pathways
77	InterPro Predicted Protein Domain Annotations	Predicted Protein Domain Annotations	protein domains predicted for gene products based on sequence similarity to known domain signatures	protein-protein domain associations by sequence similarity to domain signatures	proteins predicted to have the {0} protein domain from the InterPro Predicted Protein Domain Annotations dataset.	sets of proteins predicted to have protein domains from the InterPro Predicted Protein Domain Annotations dataset.	protein domains predicted for {0} protein from the InterPro Predicted Protein Domain Annotations dataset.			0	0		interpro	6643	43	1	6	45	9	association by computational motif search	computational model	high throughput, data driven	protein domains
78	JASPAR Predicted Transcription Factor Targets	Predicted Transcription Factor Targets	target genes of transcription factors  predicted using known transcription factor binding site motifs	target gene-transcription factor associations predicted using known transcription factor binding site motifs	target genes of the {0} transcription factor predicted using known transcription factor binding site motifs from the JASPAR Predicted Transcription Factor Targets dataset.	sets of target genes of transcription factors predicted using known transcription factor binding site motifs from the JASPAR Predicted Transcription Factor Targets dataset.	transcription factors regulating expression of {0} gene predicted using known transcription factor binding site motifs from the JASPAR Predicted Transcription Factor Targets dataset.			0	0		jasparpwm	16607	44	1	2	36	5	association by computational motif search	computational model	high throughput, data driven	transcription factors
79	KEA Substrates of Kinases	Substrates of Kinases	protein substrates of kinases from published low-throughput and high-throughput phosphoproteomics studies	substrate-kinase associations from low-throughput or high-throughput phosphoproteomics data	substrates of the kinase {0} from the curated KEA Substrates of Kinases dataset.	sets of substrates of kinases from the curated KEA Substrates of Kinases dataset.	kinases that phosphorylate {0} protein from the curated KEA Substrates of Kinases dataset.			0	0		kea	4518	45	3	4	30	5	association by data aggregation	curated experimental data	mixed	kinases
81	KEGG Pathways	Pathways	sets of proteins participating in pathways	protein-pathway associations from curated pathways	proteins participating in the {0} pathway from the KEGG Pathways dataset.	sets of proteins participating in pathways from the KEGG Pathways dataset.	pathways involving {0} protein from the KEGG Pathways dataset.			0	0		kegg	7172	49	4	6	22	4	association by literature curation	curated literature	low throughput, hypothesis driven	pathways
82	LINCS Kinativ Kinase Inhibitor Bioactivity Profiles	Kinase Inhibitor Bioactivity Profiles	percent inhibition of kinases by small molecules measured in cell lysates	kinase-chemical bioactivity profile associations by percent inhibition of kinase by small molecule in cell line	kinases with high inhibition of kinase activity in the {0} chemical bioactivity profile from the Kinativ Kinase Inhibitor Bioactivity Profiles dataset.	sets of kinases with high inhibition of kinase activity in chemical bioactivity profiles from the Kinativ Kinase Inhibitor Bioactivity Profiles dataset.	chemical bioactivity profiles with high inhibition of {0} kinase activity from the Kinativ Kinase Inhibitor Bioactivity Profiles dataset.			0	1		kinativ	1341	46	7	4	39	6	chemical bioactivity	primary experimental data	high throughput, data driven	chemical bioactivity profiles
83	LINCS KinomeScan Kinase Inhibitor Targets	Kinase Inhibitor Targets	kinase inhibitor targets from percent inhibition of kinases by small molecules measured using purified kinases	kinase-small molecule associations by percent inhibition of kinase by small molecule	kinases inhibited by the {0} small molecule from the KinomeScan Kinase Inhibitor Targets dataset.	sets of kinases inhibited by small molecules from the KinomeScan Kinase Inhibitor Targets dataset.	small molecules inhibiting {0} kinase from the KinomeScan Kinase Inhibitor Targets dataset.			0	1		kinomescan	2420	47	7	4	11	2	chemical bioactivity	primary experimental data	high throughput, data driven	small molecules
84	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	Cell Line Gene CNV Profiles	gene-level copy number variation profiles for cancer cell lines	gene-cell line associations by copy number variation of gene across cell lines	genes with high or low copy number in {0} relative to other cell lines from the Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles dataset.	sets of genes with high or low copy number in each cell line relative to other cell lines from the Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles dataset.	cell lines with high or low copy number of {0} gene relative to other cell lines from the Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles dataset.	high copy number	low copy number	1	1		klijncnv	5467	48	8	2	1	1	copy number variation by microarray	primary experimental data	high throughput, data driven	cell lines
85	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	Cell Line Gene Expression Profiles	mRNA expression profiles for cancer cell lines	gene-cell line associations by differential expression of gene across cell lines	genes with high or low expression in {0} relative to other cell lines from the Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles dataset.	sets of genes with high or low expression in each cell line relative to other cell lines from the Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles dataset.	cell lines with high or low expression of {0} gene relative to other cell lines from the Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles dataset.	high expression	low expression	1	1		klijnmrna	7167	48	16	7	1	1	gene expression by RNA-seq	primary experimental data	high throughput, data driven	cell lines
86	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Mutation Profiles	Cell Line Gene Mutation Profiles	gene mutations in cancer cell lines	gene-cell line associations by mutation of gene in cell line	genes mutated in the {0} cell line from the Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Mutation Profiles dataset.	sets of genes mutated in cell lines from the Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Mutation Profiles dataset.	cell lines with {0} gene mutations from the Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Mutation Profiles dataset.			0	0		klijnmut	5077	48	28	2	1	1	single nucleotide polymorphism by microarray	primary experimental data	high throughput, data driven	cell lines
88	LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules	Signatures of Differentially Expressed Genes for Small Molecules	mRNA expression profiles for cell lines following  small molecule perturbation	gene-small molecule associations by differential expression of gene following small molecule perturbation	genes differentially expressed following the {0} small molecule perturbation from the LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules dataset.	sets of genes differentially expressed following small molecule perturbations from the LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules dataset.	small molecule perturbations changing expression of {0} gene from the LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules dataset.	increased expression	decreased expression	1	0		lincscmapchemical	7851	50	13	7	12	2	gene expression by L1000 assay	primary experimental data	high throughput, data driven	small molecule perturbations
89	LOCATE Curated Protein Localization Annotations	Curated Protein Localization Annotations	subcellular localization of proteins from low-throughput or high-throughput protein localization assays	protein-cellular component associations from low-throughput or high-throughput protein localization assays	proteins localized to the {0} cellular component in low- or high-throughput protein localization assays from the LOCATE Curated Protein Localization Annotations dataset.	sets of proteins localized to cellular components in low- or high-throughput protein localization assays from the LOCATE Curated Protein Localization Annotations dataset.	cellular components containing {0} protein in low- or high-throughput protein localization assays from the LOCATE Curated Protein Localization Annotations dataset.			0	0		locate	2959	51	3	5	19	4	association by data aggregation	curated experimental data	mixed	cellular components
90	MiRTarBase microRNA Targets	microRNA Targets	target genes of microRNAs from published experiments	target gene-microRNA associations from low-throughput or high-throughput microRNA targeting studies	target genes of the {0} microRNA in low- or high-throughput microRNA targeting studies from the MiRTarBase microRNA Targets dataset.	sets of target genes of microRNAs in low- or high-throughput microRNA targeting studies from the MiRTarBase microRNA Targets dataset.	microRNAs targeting {0} gene in low- or high-throughput microRNA targeting studies from the MiRTarBase microRNA Targets dataset.			0	0		mirtarbase	10575	53	3	4	34	5	association by data aggregation	curated experimental data	low throughput, hypothesis driven	microRNAs
91	MotifMap Predicted Transcription Factor Targets	Predicted Transcription Factor Targets	target genes of transcription factors  predicted using known transcription factor binding site motifs	target gene-transcription factor associations predicted using known transcription factor binding site motifs	target genes of the {0} transcription factor predicted using known transcription factor binding site motifs from the MotifMap Predicted Transcription Factor Targets dataset.	sets of target genes of transcription factors predicted using known transcription factor binding site motifs from the MotifMap Predicted Transcription Factor Targets dataset.	transcription factors regulating expression of {0} gene predicted using known transcription factor binding site motifs from the MotifMap Predicted Transcription Factor Targets dataset.			0	0		motifmap	10822	56	1	2	36	5	association by computational motif search	computational model	high throughput, data driven	transcription factors
92	MPO Gene-Phenotype Associations	Gene-Phenotype Associations	observed phenotypes of transgenic mice collected from mouse phenotyping studies	gene-phenotype associations from phenotyping studies of knockout mice	gene mutations causing the {0} phenotype in transgenic mice from the MPO Gene-Phenotype Associations dataset.	sets of gene mutations causing phenotypes in transgenic mice from the MPO Gene-Phenotype Associations dataset.	phenotypes of transgenic mice caused by {0} gene mutations from the MPO Gene-Phenotype Associations dataset.			0	0		mgimpo	6719	52	6	1	15	3	association by various assays depending on phenotype	curated experimental data	high throughput, data driven	phenotypes
93	MSigDB Cancer Gene Co-expression Modules	Cancer Gene Co-expression Modules	computational signatures of genes co-expressed with cancer related genes	gene-gene associations by co-expression of genes across collections of microarray samples	co-expressed genes for {0} from the MSigDB Cancer Gene Co-expression Modules dataset.	sets of co-expressed genes from the MSigDB Cancer Gene Co-expression Modules dataset.	co-expressed genes for {0} from the MSigDB Cancer Gene Co-expression Modules dataset.			0	0		msigdbcomp	4565	55	15	7	25	5	gene expression by microarray or RNA-seq	curated experimental data	high throughput, data driven	co-expressed genes
94	MSigDB Signatures of Differentially Expressed Genes for Cancer Gene Perturbations	Signatures of Differentially Expressed Genes for Cancer Gene Perturbations	oncogenic signatures of genes differentially expressed following cancer gene perturbations	gene-gene associations by differential expression of gene A following perturbation of gene B	genes differentially expressed following the {0} gene perturbation from the MSigDB Signatures of Differentially Expressed Genes for Cancer Gene Perturbations dataset.	sets of genes differentially expressed following gene perturbations from the MSigDB Signatures of Differentially Expressed Genes for Cancer Gene Perturbations dataset.	gene perturbations changing expression of {0} gene from the MSigDB Signatures of Differentially Expressed Genes for Cancer Gene Perturbations dataset.	increased expression	decreased expression	1	0		msigdbonc	3500	55	15	7	27	5	gene expression by microarray or RNA-seq	curated experimental data	high throughput, data driven	gene perturbations
95	NURSA Protein Complexes	Protein Complexes	proteins identified in complexes isolated from cultured cells	protein-protein complex associations by identification of protein in complex recovered using IP-MS	proteins in the {0} protein complex recovered by IP-MS from the NURSA Protein Complexes dataset.	sets of proteins in protein complexes recovered by IP-MS from the NURSA Protein Complexes dataset.	protein complexs containing {0} protein recovered by IP-MS from the NURSA Protein Complexes dataset.			0	0		nursa	6103	57	23	5	23	4	protein complex by immuno-precipitation followed by mass spectrometry	primary experimental data	high throughput, data driven	protein complexes
96	NURSA Protein-Protein Interactions	Protein-Protein Interactions	protein-protein interactions inferred from membership in complexes	protein-protein associations by co-occurrence of proteins in complexes recovered using IP-MS	interacting proteins for {0} from the NURSA Protein-Protein Interactions dataset.	sets of interacting proteins for proteins from the NURSA Protein-Protein Interactions dataset.	interacting proteins for {0} from the NURSA Protein-Protein Interactions dataset.			0	1		nursappi	5325	57	23	5	29	5	protein complex by immuno-precipitation followed by mass spectrometry	computational model	high throughput, data driven	interacting proteins
97	OMIM Gene-Disease Associations	Gene-Disease Associations	disease- or phenotype-causing gene mutations for heritable human diseases or phenotypes curated from biomedical publications	gene-phenotype associations by literature evidence for phenotype-causing gene mutations	genes associated with the {0} phenotype from the curated OMIM Gene-Disease Associations dataset.	sets of genes associated with phenotypes from the curated OMIM Gene-Disease Associations dataset.	phenotypes associated with {0} gene from the curated OMIM Gene-Disease Associations dataset.			0	0		omim	11774	58	4	1	15	3	association by literature curation	curated literature	low throughput, hypothesis driven	phenotypes
99	PANTHER Pathways	Pathways	sets of proteins participating in pathways	protein-pathway associations from curated pathways	proteins participating in the {0} pathway from the PANTHER Pathways dataset.	sets of proteins participating in pathways from the PANTHER Pathways dataset.	pathways involving {0} protein from the PANTHER Pathways dataset.			0	0		panther	4785	59	4	6	22	4	association by literature curation	curated literature	low throughput, hypothesis driven	pathways
100	Pathway Commons Protein-Protein Interactions	Protein-Protein Interactions	protein-protein interactions from low-throughput or high-throughput studies aggregated by Pathway Commons from the following databases: Reactome, NCI Pathways, PhosphoSite, HumanCyc, HPRD, PANTHER, DIP, BioGRID, IntAct, BIND, Transfac, MiRTarBase, Drugbank, Recon X, Comparative Toxicogenomics Database, and KEGG	protein-protein associations from low-throughput or high-throughput protein-protein interaction data	interacting proteins for {0} from the Pathway Commons Protein-Protein Interactions dataset.	sets of interacting proteins for proteins from the Pathway Commons Protein-Protein Interactions dataset.	interacting proteins for {0} from the Pathway Commons Protein-Protein Interactions dataset.			0	0		pc	29411	60	3	4	29	5	association by data aggregation	curated experimental data	mixed	interacting proteins
101	Phosphosite Textmining Biological Term Annotations	Biological Term Annotations	occurrence frequencies for biological terms in abstracts of publications describing phosphosites	protein-biological term associations by occurrence of biological term in abstracts of publications describing phosphosite on protein	proteins co-occuring with the biological term {0} in abstracts of publications describing phosphosites from the Phosphosite Textmining Biological Term Annotations dataset.	sets of proteins co-occuring with biological terms in abstracts of publications describing phosphosites from the Phosphosite Textmining Biological Term Annotations dataset.	biological terms co-occuring with {0} protein in abstracts of publications describing phosphosites from the Phosphosite Textmining Biological Term Annotations dataset.			0	0		phosphositetextmining	1664	62	5	6	18	4	association by text-mining	automated text-mining	low throughput, hypothesis driven	biological terms
102	PhosphoSitePlus Substrates of Kinases	Substrates of Kinases	kinase-substrate interactions curated from low-throughput or high-throughput phosphoproteomics studies	substrate-kinase associations from low-throughput or high-throughput phosphoproteomics data	substrates of the kinase {0} from the curated PhosphoSitePlus Substrates of Kinases dataset.	sets of substrates of kinases from the curated PhosphoSitePlus Substrates of Kinases dataset.	kinases that phosphorylate {0} protein from the curated PhosphoSitePlus Substrates of Kinases dataset.			0	0		phosphositeplus	4785	63	3	4	30	5	association by data aggregation	curated experimental data	mixed	kinases
104	PID Pathways	Pathways	sets of proteins participating in pathways	protein-pathway associations from curated pathways	proteins participating in the {0} pathway from the PID Pathways dataset.	sets of proteins participating in pathways from the PID Pathways dataset.	pathways involving {0} protein from the PID Pathways dataset.			0	0		pid	8001	61	4	6	22	4	association by literature curation	curated literature	low throughput, hypothesis driven	pathways
